epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,run,train/rsl_loss,val/rsl_loss
41,1335.08,1.07315,0.83936,1.18829,0.72754,0.61692,0.68158,0.41847,1.43264,1.17819,1.4591,0.0003775,0.0003775,0.0003775,1_baseline_yolov8s,,
42,1366.81,1.06152,0.82391,1.17969,0.75365,0.60012,0.66628,0.40534,1.44673,1.2192,1.47148,0.000371313,0.000371313,0.000371313,1_baseline_yolov8s,,
43,1398.6,1.05085,0.80815,1.16838,0.7236,0.62391,0.68064,0.41941,1.42077,1.17407,1.44892,0.000365125,0.000365125,0.000365125,1_baseline_yolov8s,,
44,1430.57,1.04806,0.79952,1.17224,0.72363,0.62755,0.6749,0.40982,1.44006,1.17493,1.47106,0.000358938,0.000358938,0.000358938,1_baseline_yolov8s,,
45,1462.29,1.0321,0.79111,1.16513,0.73259,0.62491,0.67851,0.41758,1.43116,1.15011,1.46007,0.00035275,0.00035275,0.00035275,1_baseline_yolov8s,,
46,1494.11,1.03425,0.78845,1.15928,0.7212,0.617,0.67483,0.41636,1.43681,1.18598,1.45696,0.000346563,0.000346563,0.000346563,1_baseline_yolov8s,,
47,1525.68,1.01677,0.76987,1.15226,0.73769,0.63156,0.68787,0.42232,1.43478,1.14987,1.46373,0.000340375,0.000340375,0.000340375,1_baseline_yolov8s,,
48,1557.35,1.01778,0.76831,1.15199,0.7573,0.61481,0.68763,0.42392,1.42833,1.14296,1.46365,0.000334188,0.000334188,0.000334188,1_baseline_yolov8s,,
49,1589.01,1.00997,0.7588,1.14681,0.72784,0.62417,0.6822,0.42079,1.43547,1.16494,1.45207,0.000328,0.000328,0.000328,1_baseline_yolov8s,,
50,1620.79,1.00109,0.7457,1.13896,0.73634,0.61927,0.68208,0.41884,1.43953,1.17809,1.47024,0.000321812,0.000321812,0.000321812,1_baseline_yolov8s,,
51,1652.77,1.00422,0.74214,1.14182,0.74264,0.62235,0.68786,0.42181,1.43935,1.1579,1.46603,0.000315625,0.000315625,0.000315625,1_baseline_yolov8s,,
52,1684.68,0.99004,0.73349,1.13871,0.75131,0.63171,0.69473,0.42973,1.41961,1.13101,1.45471,0.000309437,0.000309437,0.000309437,1_baseline_yolov8s,,
53,1716.8,0.99044,0.73138,1.13287,0.7434,0.6192,0.68499,0.42089,1.44163,1.15165,1.46763,0.00030325,0.00030325,0.00030325,1_baseline_yolov8s,,
54,1749.33,0.97456,0.71971,1.13226,0.73555,0.6271,0.67863,0.4132,1.45589,1.18438,1.48251,0.000297063,0.000297063,0.000297063,1_baseline_yolov8s,,
55,1781.46,0.97059,0.7131,1.12811,0.74422,0.62217,0.68392,0.41993,1.44115,1.17394,1.47911,0.000290875,0.000290875,0.000290875,1_baseline_yolov8s,,
56,1813.75,0.96447,0.69912,1.12233,0.75679,0.61056,0.67916,0.41647,1.44823,1.18922,1.48336,0.000284688,0.000284688,0.000284688,1_baseline_yolov8s,,
57,1845.76,0.95852,0.69288,1.11611,0.73975,0.62911,0.68529,0.42102,1.44963,1.16588,1.47552,0.0002785,0.0002785,0.0002785,1_baseline_yolov8s,,
58,1877.64,0.95037,0.68532,1.10652,0.75608,0.61613,0.68395,0.41767,1.45597,1.18107,1.47579,0.000272313,0.000272313,0.000272313,1_baseline_yolov8s,,
59,1909.6,0.94172,0.68189,1.11083,0.76434,0.61361,0.68643,0.41912,1.45118,1.18079,1.48412,0.000266125,0.000266125,0.000266125,1_baseline_yolov8s,,
60,1941.78,0.94154,0.67741,1.10406,0.76284,0.61664,0.6884,0.4204,1.44447,1.1641,1.47285,0.000259938,0.000259938,0.000259938,1_baseline_yolov8s,,
61,1974.08,0.92216,0.66601,1.09926,0.75205,0.63229,0.6893,0.42417,1.44337,1.17372,1.4715,0.00025375,0.00025375,0.00025375,1_baseline_yolov8s,,
62,2006.54,0.92511,0.65995,1.09317,0.74526,0.61843,0.68276,0.42095,1.44097,1.16623,1.47172,0.000247563,0.000247563,0.000247563,1_baseline_yolov8s,,
