run,epoch,lambda_tv,train/box_loss,train/cls_loss,train/dfl_loss,train/det_loss,train/rsl_loss,weighted_rsl_loss,ratio_rsl_to_box,ratio_rsl_to_det,metrics/mAP50(B),metrics/mAP50-95(B)
e7p__nwd-scaleinv__s0,100,0.001,0.70112,0.35526,0.9331,1.98948,0.00125,1.25e-06,1.782861706983113e-06,6.283048836882e-07,0.68085,0.42633
e7p__nwd-sizegate__s0,1,0.0001,1360.72,2.54651,1.4401,1364.70661,0.07431,7.4310000000000005e-06,5.4610794285378334e-09,5.4451264070597565e-09,0.48555,0.28364
e7p__nwd-sizegate__s0,2,0.0001,1446.59,2.08766,1.53696,1450.2146199999997,0.1115,1.115e-05,7.707781748802356e-09,7.68851716582474e-09,0.26765,0.14331
e7p__nwd-sizegate__s0,3,0.0001,1491.32,2.37794,1.69752,1495.39546,0.14685,1.4685000000000001e-05,9.84698119786498e-09,9.820144833126618e-09,0.18622,0.09311
e7p__nwd-sizegate__s0,4,0.0001,1549.84,2.51076,1.76964,1554.1203999999998,0.1599,1.599e-05,1.0317194032932432e-08,1.0288778140998602e-08,0.19636,0.095
e7p__nwd-sizegate__s0,5,0.0001,1545.89,2.47431,1.79757,1550.16188,0.1627,1.6270000000000002e-05,1.052468157501504e-08,1.0495678038476859e-08,0.20664,0.10343
e7p__nwd-sizegate__s0,6,0.0001,1526.03,2.43283,1.78334,1530.24617,0.15202,1.5202e-05,9.961796294961436e-09,9.934349321063814e-09,0.24047,0.12431
e7p__nwd-sizegate__s0,7,0.0001,1496.41,2.35037,1.75488,1500.5152500000002,0.13861,1.3861000000000002e-05,9.26283572015691e-09,9.23749358761932e-09,0.26568,0.14196
e7p__nwd-sizegate__s0,8,0.0001,1496.2,2.30321,1.75679,1500.26,0.14635,1.4635000000000001e-05,9.781446330704451e-09,9.75497580419394e-09,0.28225,0.14982
e7p__nwd-sizegate__s0,9,0.0001,1455.26,2.29331,1.75675,1459.31006,0.14603,1.4603e-05,1.003463298654536e-08,1.0006783616635933e-08,0.24972,0.1288
e7p__nwd-sizegate__s0,10,0.0001,1441.88,2.23793,1.70914,1445.82707,0.14308,1.4308000000000003e-05,9.923155879823565e-09,9.896065924398553e-09,0.31797,0.17151
e7p__nwd-sizegate__s0,11,0.0001,1412.39,2.19777,1.71043,1416.2982000000002,0.13867,1.3867e-05,9.818109728899241e-09,9.791017174208085e-09,0.31645,0.17476
e7p__nwd-sizegate__s0,12,0.0001,1457.35,2.149,1.69767,1461.1966699999998,0.1384,1.384e-05,9.496689196143686e-09,9.471688708406379e-09,0.3363,0.18175
e7p__nwd-sizegate__s0,13,0.0001,1443.52,2.12153,1.69769,1447.3392199999998,0.13924,1.3924000000000001e-05,9.645865661715806e-09,9.620412276259606e-09,0.34019,0.19013
e7p__nwd-sizegate__s0,14,0.0001,1425.84,2.08681,1.69117,1429.61798,0.1509,1.5090000000000001e-05,1.0583235145598386e-08,1.0555267358906609e-08,0.35197,0.19538
e7p__nwd-sizegate__s0,15,0.0001,1391.4,2.05999,1.66738,1395.1273700000002,0.15148,1.5148000000000001e-05,1.0886876527238752e-08,1.0857789995188755e-08,0.3745,0.20801
e7p__nwd-sizegate__s0,16,0.0001,1388.11,1.99066,1.64313,1391.7437899999998,0.14592,1.4592e-05,1.0512135205423203e-08,1.0484688420991628e-08,0.3663,0.20688
e7p__nwd-sizegate__s0,17,0.0001,1359.67,2.02257,1.66951,1363.36208,0.13939,1.3939e-05,1.0251752263416857e-08,1.0223989800273747e-08,0.35925,0.20128
e7p__nwd-sizegate__s0,18,0.0001,1405.51,1.99836,1.66983,1409.17819,0.13949,1.3949000000000001e-05,9.924511387325599e-09,9.898677185743274e-09,0.37831,0.21428
e7p__nwd-sizegate__s0,19,0.0001,1326.1,1.97802,1.63596,1329.71398,0.1376,1.376e-05,1.0376291380740519e-08,1.0348090045650268e-08,0.39847,0.22587
e7p__nwd-sizegate__s0,20,0.0001,1342.36,1.9731,1.63502,1345.9681199999998,0.13596,1.3596e-05,1.0128430525343426e-08,1.0101279367597504e-08,0.39837,0.22433
e7p__nwd-sizegate__s0,21,0.0001,1343.0,1.91454,1.62374,1346.53828,0.13841,1.3841000000000002e-05,1.0306031273268803e-08,1.0278950257544852e-08,0.41004,0.22968
e7p__nwd-sizegate__s0,22,0.0001,1307.48,1.90902,1.61557,1311.00459,0.13508,1.3508000000000002e-05,1.0331324379722826e-08,1.0303548975370103e-08,0.41292,0.23844
e7p__nwd-sizegate__s0,23,0.0001,1312.04,1.86732,1.60685,1315.51417,0.13039,1.3039000000000002e-05,9.937959208560717e-09,9.91171383581524e-09,0.42521,0.24305
e7p__nwd-sizegate__s0,24,0.0001,1291.53,1.85604,1.58825,1294.9742899999999,0.12419,1.2419000000000001e-05,9.615727083381727e-09,9.590151785947813e-09,0.41617,0.24194
e7p__nwd-sizegate__s0,25,0.0001,1275.28,1.84912,1.59353,1278.7226500000002,0.11838,1.1838e-05,9.282667335800767e-09,9.257676009727363e-09,0.42872,0.24972
e7p__nwd-sizegate__s0,26,0.0001,1290.19,1.83233,1.5888,1293.61113,0.11325,1.1325e-05,8.77777691657818e-09,8.754562895574345e-09,0.42064,0.2445
e7p__nwd-sizegate__s0,27,0.0001,1281.85,1.77467,1.55774,1285.18241,0.11621,1.1621e-05,9.065803331122987e-09,9.042296182687405e-09,0.44433,0.25665
